precision;recall;thresh
0,06528189910979229;0,22;0,9712542295455933
0,0650887573964497;0,22;0,9712542295455933
0,06489675516224189;0,22;0,9712542295455933
0,06764705882352941;0,23;0,9712542295455933
0,06744868035190615;0,23;0,9712542295455933
0,06725146198830409;0,23;0,9712033867835999
0,06705539358600583;0,23;0,9712033867835999
0,06686046511627906;0,23;0,9711899161338806
0,06956521739130435;0,24;0,9711899161338806
0,06936416184971098;0,24;0,9711899161338806
0,069164265129683;0,24;0,9711878895759583
0,07183908045977011;0,25;0,9711449146270752
0,07163323782234957;0,25;0,9711018800735474
0,07142857142857142;0,25;0,9710466861724854
0,07122507122507123;0,25;0,9709805846214294
0,07102272727272728;0,25;0,9709662795066833
0,0708215297450425;0,25;0,970823347568512
0,07062146892655367;0,25;0,9707733392715454
0,07042253521126761;0,25;0,9706559777259827
0,0702247191011236;0,25;0,9705472588539124
0,0700280112044818;0,25;0,9704653024673462
0,06983240223463687;0,25;0,9703814387321472
0,06963788300835655;0,25;0,9703811407089233
0,06944444444444445;0,25;0,9703176021575928
0,06925207756232687;0,25;0,9702334403991699
0,06906077348066299;0,25;0,9698634743690491
0,06887052341597796;0,25;0,9698247909545898
0,06868131868131869;0,25;0,969754159450531
0,0684931506849315;0,25;0,9696019291877747
0,06830601092896176;0,25;0,9694811105728149
0,0681198910081744;0,25;0,9694697856903076
0,06793478260869565;0,25;0,9693543910980225
0,06775067750677506;0,25;0,9693365097045898
0,06756756756756757;0,25;0,9692660570144653
0,0673854447439353;0,25;0,9690014719963074
0,06720430107526881;0,25;0,9688897728919983
0,06702412868632708;0,25;0,9688897728919983
0,06684491978609626;0,25;0,9688223004341125
0,06933333333333333;0,26;0,9688223004341125
0,07180851063829788;0,27;0,9687278866767883
0,07161803713527852;0,27;0,9687278866767883
0,07142857142857142;0,27;0,9687250852584839
0,0712401055408971;0,27;0,9687199592590332
0,07105263157894737;0,27;0,9687038064002991
0,07086614173228346;0,27;0,9686806797981262
0,07068062827225131;0,27;0,9686347246170044
0,07049608355091384;0,27;0,9686347246170044
0,0703125;0,27;0,9685802459716797
0,07012987012987013;0,27;0,9685429930686951
0,06994818652849741;0,27;0,968502938747406
0,06976744186046512;0,27;0,9684922099113464
